task,round_in_task,global_round,acc,prec_mic,prec_mac,prec_wei,rec_mic,rec_mac,rec_wei,f1_mic,f1_mac,f1_wei,loss
5,7,157,40.84,40.84,16.29,33.14,40.84,22.07,40.84,40.84,18.41,36.18,3.353208
5,8,158,41.7,41.7,21.88,46.11,41.7,23.64,41.7,41.7,19.03,36.68,2.598041
5,9,159,47.96,47.96,18.65,38.15,47.96,25.2,47.96,47.96,20.1,39.37,2.119407
5,10,160,50.27,50.27,21.46,46.61,50.27,26.14,50.27,50.27,20.8,41.18,1.806638
5,11,161,58.14,58.14,23.58,54.05,58.14,28.88,58.14,58.14,23.51,49.86,1.550652
5,12,162,66.11,66.11,24.77,57.29,66.11,31.59,66.11,66.11,26.65,58.41,1.406451
5,13,163,66.59,66.59,24.78,57.09,66.59,31.79,66.59,66.59,26.85,58.84,1.315032
5,14,164,66.98,66.98,24.74,56.95,66.98,31.87,66.98,66.98,26.85,58.89,1.261484
5,15,165,67.03,67.03,24.45,57.6,67.03,31.9,67.03,67.03,26.53,58.69,1.228619
5,16,166,67.28,67.28,24.19,57.14,67.28,31.97,67.28,67.28,26.32,58.72,1.195406
5,17,167,67.42,67.42,24.14,57.03,67.42,32.0,67.42,67.42,26.32,58.86,1.153815
5,18,168,67.53,67.53,24.08,56.96,67.53,32.04,67.53,67.53,26.35,58.97,1.127945
5,19,169,67.76,67.76,24.36,57.61,67.76,32.22,67.76,67.76,26.69,59.37,1.088152
5,20,170,67.44,67.44,24.13,57.15,67.44,32.06,67.44,67.44,26.39,58.92,1.113295
5,21,171,67.27,67.27,24.11,56.72,67.27,32.0,67.27,67.27,26.29,58.68,1.088364
5,22,172,67.33,67.33,24.01,56.26,67.33,32.03,67.33,67.33,26.35,58.76,1.071956
5,23,173,67.47,67.47,24.42,57.39,67.47,32.05,67.47,67.47,26.34,58.87,1.072633
5,24,174,67.87,67.87,24.63,57.53,67.87,32.23,67.87,67.87,26.59,59.34,1.060988
5,25,175,68.39,68.39,25.97,61.19,68.39,32.4,68.39,68.39,26.96,59.75,1.062701
5,26,176,68.56,68.56,26.21,62.1,68.56,32.5,68.56,68.56,27.04,60.09,1.045662
5,27,177,68.9,68.9,26.34,62.32,68.9,32.62,68.9,68.9,27.18,60.39,1.028101
5,28,178,69.27,69.27,26.83,63.55,69.27,32.76,69.27,69.27,27.36,60.9,1.007681
5,29,179,68.91,68.91,26.9,62.11,68.91,32.64,68.91,68.91,27.24,60.15,1.003331
5,30,180,69.39,69.39,27.1,62.36,69.39,32.59,69.39,69.39,27.91,62.54,1.000656
