task,round_in_task,global_round,acc,prec_mic,prec_mac,prec_wei,rec_mic,rec_mac,rec_wei,f1_mic,f1_mac,f1_wei,loss
4,17,137,55.97,55.97,43.32,57.23,55.97,30.64,55.97,55.97,24.19,45.2,2.522636
4,18,138,55.93,55.93,41.35,57.83,55.93,30.27,55.93,55.93,24.22,45.19,2.493036
4,19,139,56.04,56.04,44.26,58.61,56.04,31.33,56.04,56.04,24.84,45.24,2.509459
4,20,140,56.03,56.03,43.59,58.05,56.03,31.02,56.03,56.03,25.09,45.33,2.508539
4,21,141,56.09,56.09,37.78,55.92,56.09,31.21,56.09,56.09,25.34,45.41,2.467461
4,22,142,56.04,56.04,44.87,57.77,56.04,30.79,56.04,56.04,24.92,45.43,2.492049
4,23,143,56.09,56.09,44.47,71.04,56.09,30.32,56.09,56.09,24.69,45.55,2.45715
4,24,144,56.23,56.23,44.37,57.9,56.23,32.03,56.23,56.23,25.48,45.6,2.496044
4,25,145,55.97,55.97,44.82,57.97,55.97,30.47,55.97,55.97,24.56,45.3,2.532494
4,26,146,56.03,56.03,37.71,55.54,56.03,31.61,56.03,56.03,25.48,45.33,2.513472
4,27,147,56.16,56.16,43.77,58.09,56.16,31.6,56.16,56.16,25.2,45.51,2.543244
4,28,148,56.09,56.09,41.88,57.8,56.09,31.15,56.09,56.09,25.37,45.54,2.40759
4,29,149,56.17,56.17,41.22,57.97,56.17,31.89,56.17,56.17,26.19,45.6,2.427999
4,30,150,56.11,56.11,45.25,63.64,56.11,32.25,56.11,56.11,26.16,45.45,2.39492
5,1,151,47.95,47.95,24.82,45.16,47.95,20.17,47.95,47.95,13.92,34.91,2.867626
5,2,152,65.1,65.1,40.94,71.32,65.1,35.68,65.1,65.1,30.61,58.41,1.73167
5,3,153,69.31,69.31,42.85,73.84,69.31,37.47,69.31,69.31,32.86,62.93,1.471579
5,4,154,72.13,72.13,47.34,82.5,72.13,40.83,72.13,72.13,36.96,66.32,1.238488
5,5,155,73.46,73.46,47.68,83.97,73.46,41.83,73.46,73.46,37.49,67.78,1.191262
